equipmentID,equipmentKancolleID,equipmentName,equipmentDesc,equipmentFirePower,equipmentAA,equipmentASW
1,1,12cm Naval Gun,Light Naval Gun,1,1,0
2,2,12.7cm Twin Gun Mount,Light Naval Gun,2,2,0
3,63,12.7cm Twin Mount Type-B Kai 2,Light Naval Gun,3,2,0
4,3,12.7cm Naval Gun,Light Naval Gun,2,2,0
5,147,120mm Twin Gun Mount,Light Naval Gun,3,2,0
6,3,10cm Twin High-angle Mount,Dual Purpose Gun,2,7,0
7,48,12.7cm High-angle Mount,Dual Purpose Gun,1,3,0
8,91,12.7cm Twin High-Angle Mount (Late Model),Dual Purpose Gun,2,5,1
9,122,10cm Twin High-angle Mount + Anti-Aircraft Fire Director,Dual Purpose Gun,3,10,0
10,160,10.5cm Twin Gun Mount,Dual Purpose Gun,3,6,0
11,4,14cm Naval Gun,Dual Purpose Gun,2,0,0
12,5,15.5cm Triple Gun Mount (Main),Medium Naval Gun,7,4,0
13,6,20.3cm Twin Gun Mount,Medium Naval Gun,8,3,0
14,7,35.6cm Twin Gun Mount,Heavy Naval Gun,15,4,0
15,8,41cm Twin Gun Mount,Heavy Naval Gun,20,4,0
16,9,46cm Triple Gun Mount,Heavy Naval Gun,26,5,0
17,76,38cm Twin Gun Mount,Heavy Naval Gun,16,1,0
18,44,Type 94 Depth Charge Launcher,Depth Charge Launchers,0,0,5
19,45,Type 3 Depth Charge Launcher,Depth Charge Launchers,0,0,8
20,46,Type 93 Passive SONAR,Sonar,0,0,6
21,47,Type 3 SONAR,Sonar,0,0,10
